path,passed,blue_fraction,inner_fraction,color_fraction,inner_mean_radius,blue_mean_radius,radius_cv,reason
dataset/generate_data/processed_256_front/IMG_4014.png,True,0.10363268401042335,0.072007779146517,0.17564046315694035,462.7522837623263,932.1191428053573,0.5388445857072083,passed
dataset/generate_data/processed_256_front/IMG_4015.png,True,0.04377202950897134,0.06480740444325879,0.10857943395223013,1213.3544023070317,622.5741985672184,0.7991930306046785,passed
dataset/generate_data/processed_256_front/IMG_4016.png,True,0.09624536088945382,0.07059027314629555,0.16683563403574939,455.4949103019772,883.1348948777436,0.49700682399196244,passed
dataset/generate_data/processed_256_front/IMG_4017.png,True,0.042535641707663455,0.08017122971192835,0.1227068714195918,1429.972756917323,691.0025241292179,0.670648201618354,passed
dataset/generate_data/processed_256_front/IMG_4018.png,True,0.09679699766616887,0.07283142014975925,0.1696284178159281,455.5152961239773,862.8008910184011,0.40885863018988594,passed
dataset/generate_data/processed_256_front/IMG_4020.png,True,0.08924255976900564,0.06753600132863603,0.15677856109764168,444.2653673093677,828.4434470051432,0.4170599103094121,passed
dataset/generate_data/processed_256_front/IMG_4021.png,True,0.03928919062178248,0.06896217092501489,0.10825136154679736,1353.957360778903,608.6598039829315,0.7592354602563987,passed
dataset/generate_data/processed_256_front/IMG_4022.png,True,0.09263531120509205,0.07120304548834784,0.1638383566934399,480.0988461946822,844.903855117946,0.45792992434672813,passed
dataset/generate_data/processed_256_front/IMG_4025.png,True,0.10513470093919922,0.08029290147431521,0.18542760241351441,481.66156122947103,893.6162612635535,0.41034418144629825,passed
dataset/generate_data/processed_256_front/IMG_4027.png,True,0.08402751078644966,0.06505369032144448,0.14908120110789413,455.3487785901131,798.6860408701023,0.4598562758996423,passed
dataset/generate_data/processed_256_front/IMG_4029.png,True,0.10165002820300234,0.07830801165782217,0.1799580398608245,482.71995248341534,880.8026515531338,0.41981044788566846,passed
dataset/generate_data/processed_256_front/IMG_4030.png,True,0.04043229492232623,0.06094970668005764,0.10138200160238388,1192.7944289602306,598.2079656721453,0.8087009586704031,passed
dataset/generate_data/processed_256_front/IMG_4031.png,True,0.0815842676940057,0.06340973208455496,0.14499399977856067,460.73567227335167,788.463716663251,0.47848798669651904,passed
dataset/generate_data/processed_256_front/IMG_4032.png,True,0.03797335927835186,0.06363814589016434,0.1016115051685162,1323.4270101036482,584.4795414000783,0.8063475124526517,passed
dataset/generate_data/processed_256_front/IMG_4033.png,True,0.10205242227609998,0.07861913828712312,0.18067156056322312,474.1922189369897,886.7099736663836,0.40086605901796163,passed
dataset/generate_data/processed_256_front/IMG_4034.png,True,0.039203099540469785,0.06427979688607469,0.10348289642654447,1286.4068797898651,603.1227434629774,0.791405879659732,passed
dataset/generate_data/processed_256_front/IMG_4036.png,True,0.09277104087822492,0.0718175069592107,0.16458854783743562,456.27609813190827,839.7385529433941,0.4114386869429635,passed
dataset/generate_data/processed_256_front/IMG_4037.png,True,0.04530592193304337,0.0650471517583068,0.11035307369135018,1167.9306085783783,634.662842494113,0.793814563736809,passed
dataset/generate_data/processed_256_front/IMG_4038.png,True,0.0846661649409219,0.0670790102533388,0.1517451751942607,483.7595742999309,802.5661963951493,0.4970450784216819,passed
dataset/generate_data/processed_256_front/IMG_4039.png,True,0.039502456756122926,0.06856522565453196,0.1080676824106549,1316.2430616824374,632.3249314219163,0.7317905433559192,passed
dataset/generate_data/processed_256_front/IMG_4040.png,True,0.10636781945893826,0.08275352624710015,0.18912134570603842,491.6484848304065,901.0441770773334,0.40321596916399904,passed
