epoch=072 loss_d=0.5365 loss_g=1.0438 d_real=0.6835 d_fake=0.3319
epoch=073 loss_d=0.5663 loss_g=0.9592 d_real=0.6502 d_fake=0.3810
epoch=074 loss_d=0.5840 loss_g=1.0072 d_real=0.6702 d_fake=0.3671
epoch=075 loss_d=0.5643 loss_g=1.0295 d_real=0.6487 d_fake=0.3771
epoch=076 loss_d=0.5754 loss_g=0.9586 d_real=0.6440 d_fake=0.4022
epoch=077 loss_d=0.5899 loss_g=1.0134 d_real=0.6090 d_fake=0.3637
epoch=078 loss_d=0.5212 loss_g=1.0467 d_real=0.6757 d_fake=0.3598
epoch=079 loss_d=0.5827 loss_g=1.0255 d_real=0.6510 d_fake=0.3706
epoch=080 loss_d=0.5570 loss_g=0.9594 d_real=0.6696 d_fake=0.3833
epoch=081 loss_d=0.5656 loss_g=0.8850 d_real=0.6694 d_fake=0.4064
epoch=082 loss_d=0.5523 loss_g=1.1537 d_real=0.6350 d_fake=0.3329
epoch=083 loss_d=0.5391 loss_g=1.0150 d_real=0.6566 d_fake=0.3746
epoch=084 loss_d=0.5677 loss_g=0.9963 d_real=0.6442 d_fake=0.3668
epoch=085 loss_d=0.5454 loss_g=1.1107 d_real=0.6518 d_fake=0.3504
epoch=086 loss_d=0.5545 loss_g=1.0763 d_real=0.6453 d_fake=0.3533
epoch=087 loss_d=0.5526 loss_g=1.0029 d_real=0.6324 d_fake=0.3633
epoch=088 loss_d=0.5467 loss_g=1.0040 d_real=0.6374 d_fake=0.3652
epoch=089 loss_d=0.5567 loss_g=1.0063 d_real=0.6370 d_fake=0.3509
epoch=090 loss_d=0.5314 loss_g=1.1404 d_real=0.6378 d_fake=0.3300
epoch=091 loss_d=0.5588 loss_g=1.0598 d_real=0.6552 d_fake=0.3331
epoch=092 loss_d=0.5109 loss_g=1.0485 d_real=0.6810 d_fake=0.3662
epoch=093 loss_d=0.5130 loss_g=1.3243 d_real=0.6449 d_fake=0.2973
epoch=094 loss_d=0.5044 loss_g=1.2800 d_real=0.6539 d_fake=0.2897
epoch=095 loss_d=0.5210 loss_g=1.0965 d_real=0.6648 d_fake=0.3439
epoch=096 loss_d=0.5597 loss_g=1.1239 d_real=0.6428 d_fake=0.3451
epoch=097 loss_d=0.5694 loss_g=1.0951 d_real=0.6447 d_fake=0.3510
epoch=098 loss_d=0.5694 loss_g=1.0916 d_real=0.6262 d_fake=0.3228
epoch=099 loss_d=0.5685 loss_g=0.9722 d_real=0.6195 d_fake=0.3791
epoch=100 loss_d=0.5781 loss_g=1.1290 d_real=0.6233 d_fake=0.3483
epoch=101 loss_d=0.5224 loss_g=0.9391 d_real=0.6913 d_fake=0.3563
epoch=102 loss_d=0.5618 loss_g=1.0727 d_real=0.6409 d_fake=0.3605
epoch=103 loss_d=0.5731 loss_g=1.0702 d_real=0.6250 d_fake=0.3516
epoch=104 loss_d=0.5697 loss_g=1.0000 d_real=0.6096 d_fake=0.3708
epoch=105 loss_d=0.5810 loss_g=1.0144 d_real=0.6452 d_fake=0.3917
epoch=106 loss_d=0.5584 loss_g=1.1159 d_real=0.6294 d_fake=0.3215
epoch=107 loss_d=0.5683 loss_g=1.0088 d_real=0.6471 d_fake=0.3788
epoch=108 loss_d=0.5496 loss_g=0.9700 d_real=0.6498 d_fake=0.3536
epoch=109 loss_d=0.5705 loss_g=0.9994 d_real=0.6421 d_fake=0.3591
epoch=110 loss_d=0.5635 loss_g=0.9437 d_real=0.6341 d_fake=0.3699
epoch=111 loss_d=0.5728 loss_g=0.9493 d_real=0.6442 d_fake=0.3733
epoch=112 loss_d=0.5507 loss_g=0.9822 d_real=0.6380 d_fake=0.3597
epoch=113 loss_d=0.5435 loss_g=0.9379 d_real=0.6405 d_fake=0.3653
epoch=114 loss_d=0.5393 loss_g=1.0722 d_real=0.6475 d_fake=0.3401
epoch=115 loss_d=0.5453 loss_g=1.0383 d_real=0.6393 d_fake=0.3465
epoch=116 loss_d=0.5436 loss_g=1.1262 d_real=0.6074 d_fake=0.3498
epoch=117 loss_d=0.4971 loss_g=1.1557 d_real=0.6641 d_fake=0.3131
epoch=118 loss_d=0.5540 loss_g=1.0326 d_real=0.6472 d_fake=0.3755
epoch=119 loss_d=0.5546 loss_g=1.0138 d_real=0.6478 d_fake=0.3671
epoch=120 loss_d=0.5182 loss_g=1.0207 d_real=0.6887 d_fake=0.3554
epoch=121 loss_d=0.5605 loss_g=1.0604 d_real=0.6234 d_fake=0.3377
epoch=122 loss_d=0.5045 loss_g=1.1314 d_real=0.6518 d_fake=0.3262
epoch=123 loss_d=0.5621 loss_g=1.1406 d_real=0.6235 d_fake=0.3294
epoch=124 loss_d=0.5447 loss_g=1.0041 d_real=0.6537 d_fake=0.3588
epoch=125 loss_d=0.5087 loss_g=1.1924 d_real=0.6490 d_fake=0.2826
epoch=126 loss_d=0.5350 loss_g=1.2101 d_real=0.6261 d_fake=0.2973
epoch=127 loss_d=0.4786 loss_g=1.1807 d_real=0.6718 d_fake=0.3180
