epoch,loss_d,loss_d_total,loss_d_real,loss_d_fake,loss_g,d_real,d_fake
1,0.6929956132173538,1.3859912264347076,0.6918591499328614,0.6941320788860321,0.6923948568105698,0.5008066233992576,0.5004918736219406
2,0.6932756382226944,1.386551276445389,0.6917101520299912,0.6948411244153977,0.6920009231567383,0.5009022861719131,0.500843476653099
3,0.6931915950775146,1.3863831901550292,0.6936169916391373,0.6927661943435669,0.6934791100025177,0.4997085353732109,0.4998084309697151
4,0.6929373413324356,1.3858746826648711,0.693530238866806,0.6923444420099258,0.6946221828460694,0.49976885706186297,0.49959395349025726
5,0.6938587880134582,1.3877175760269165,0.6911803698539734,0.6965372055768967,0.6903226900100708,0.5012544816732407,0.5016680720448494
6,0.6941802161931991,1.3883604323863983,0.7099216556549073,0.6784387838840484,0.7052818286418915,0.48972450226545333,0.49256663382053373
7,0.6898114454746246,1.3796228909492492,0.6934350258111954,0.6861878615617752,0.6991893261671066,0.4998429074883461,0.49649738013744354
8,0.6553053224086761,1.3106106448173522,0.6683216655254364,0.6422889825701713,0.7367238214612007,0.5184412267804146,0.47199999570846557
9,0.6849895823001861,1.3699791646003723,0.5864156436920166,0.7835635209083557,0.7781022515892982,0.5888563117384911,0.4965259337425232
10,0.6765202420949936,1.3530404841899872,0.6147447383403778,0.7382957482337952,0.8870050445199013,0.6311527955159545,0.4891729172691703
11,0.637491159439087,1.274982318878174,0.6865210625529289,0.5884612575173378,0.7621825677156449,0.5111605471372604,0.44098577439785
12,0.5802865520119667,1.1605731040239333,0.6088194480538368,0.5517536514997482,0.8985522258281707,0.5699179708957672,0.4185116235911846
13,0.6247642201185226,1.2495284402370452,0.5048352393507958,0.7446932032704353,0.7679778042435647,0.6713921803236008,0.502566189467907
14,0.5381526038050651,1.0763052076101303,0.5226419341564178,0.5536632716655732,0.857465973496437,0.6589140020310879,0.42119638025760653
15,0.48818455785512926,0.9763691157102585,0.47174159198999405,0.5046275246143341,1.065640494823456,0.760274855196476,0.3740407567098737
16,0.37901233583688737,0.7580246716737747,0.4380259257555008,0.3199987497925758,1.4183541417121888,0.8201186476647854,0.25927362345159055
17,0.5682863691449165,1.136572738289833,0.5155122447013855,0.6210604906082153,1.201553309261799,0.7557334817200899,0.4004386432468891
18,0.44187699511647227,0.8837539902329445,0.46447245925664904,0.41928153216838837,1.1678194600343703,0.7422633303701878,0.32673134926706554
19,0.5736109867691994,1.1472219735383988,0.5138630580902099,0.6333589160442352,0.9684391337633133,0.7430087889730931,0.4327616227790713
20,0.6705549030005932,1.3411098060011863,0.7980154636502266,0.5430943393707275,0.9770148342847824,0.5701308537367731,0.38035067518241705
21,0.6203807987272739,1.2407615974545478,0.6446984830498695,0.5960631185770034,1.6672553220391273,0.6317424169927836,0.37245600677037144
22,0.6253757134079934,1.2507514268159867,0.6636555215716362,0.5870959028601647,1.0461937066912652,0.6039810756407679,0.41108761079609396
23,0.44231934458017347,0.8846386891603469,0.5309685432910919,0.3536701476573944,1.2918943405151366,0.6776848935708404,0.28531156267970803
24,0.46779056325554846,0.9355811265110969,0.5205912700295449,0.4149898588657379,1.268962146639824,0.7379547989554703,0.3232497655414045
25,0.4612811705470085,0.922562341094017,0.510330151617527,0.4122321909666061,1.204674562215805,0.7823992277868093,0.3276511776447296
26,0.4341914701461792,0.8683829402923584,0.5053719973564148,0.36301094651222227,1.2519670897722244,0.797399813234806,0.2975814250484109
