path,width,height,bytes,sha256
dataset/generate_data/processed_1024_front_clean/IMG_4050.png,1024,1024,1695280,5f9197f974d3cbc87495ff5769ba464cc07efc1f22c1034dcf57b0d7e622ac2d
dataset/generate_data/processed_1024_front_clean/IMG_4051.png,1024,1024,1154347,e4d0b910fbcd0cd8def48756ac733bc0a642b8ce28c311ad11975c32eda401d2
dataset/generate_data/processed_1024_front_clean/IMG_4052.png,1024,1024,1680110,7202b55194a9e1c2f01c272000f648da9deed508d0e06232839258c2308fce3b
dataset/generate_data/processed_1024_front_clean/IMG_4053.png,1024,1024,1147250,f25c45e6999cea0f2e347e3bb2acb7c33f810751b178670ebc2cd0a96a0874c0
dataset/generate_data/processed_1024_front_clean/IMG_4054.png,1024,1024,1676172,0b2c53b3733c49c32acd5ae5e84d67b56575ff7c6cdf150ff77cd8dbd42a554e
dataset/generate_data/processed_1024_front_clean/IMG_4055.png,1024,1024,1185344,23078dc69fdcf94e80c0c8956d11c21f7bac584787615c2ad9830194b12999ec
dataset/generate_data/processed_1024_front_clean/IMG_4056.png,1024,1024,1604025,96987b32c9e824a63b4b19bc17fd0e2d82ff63ed00125f778088901c988d46b9
dataset/generate_data/processed_1024_front_clean/IMG_4058.png,1024,1024,1149752,6cc056d5d50d938842f0b7438256ac1458253f03293624c4e81a7f9ab9fda84c
dataset/generate_data/processed_1024_front_clean/IMG_4059.png,1024,1024,1645842,fc9f65650e406ff9c181d1fb07c7adf5e863352da8f0152d4c2b25f4245e0847
dataset/generate_data/processed_1024_front_clean/IMG_4060.png,1024,1024,1160036,3af2f45e7ca91aa9cb333968b9d72bfca392f30989338e928c150c1f7e328622
dataset/generate_data/processed_1024_front_clean/IMG_4061.png,1024,1024,1633231,fdc9285ad674f1e7657da02c12a31d2236447290600f6138d1347cd9cbbfcd83
dataset/generate_data/processed_1024_front_clean/IMG_4062.png,1024,1024,1158533,d9852bf3888417a67b29d511c2184ee3373b1bf3c1ae7c9792d936aeb037c2d4
dataset/generate_data/processed_1024_front_clean/IMG_4063.png,1024,1024,1708470,e7e58b30b3a012751f8025564f609aac025ceff9fae545b27639b5a03fccc20c
dataset/generate_data/processed_1024_front_clean/IMG_4064.png,1024,1024,1158430,db24f98c6b6cb1a1e2d2ab541d95afd9cf7c02407f4c5a35f8be1b8caf7a3e03
dataset/generate_data/processed_1024_front_clean/IMG_4065.png,1024,1024,1660069,81c465cf7ff5929fd66f7eae79e2f6b79d1f90585c18c74490959239466e25fd
dataset/generate_data/processed_1024_front_clean/IMG_4066.png,1024,1024,1162627,663635a24a1be0c0897732e16de486bafc1ed3930a6c1b47d8b05fa84da0251f
dataset/generate_data/processed_1024_front_clean/IMG_4067.png,1024,1024,1666896,b5362f7589c1c2f285f4a525580a2fe6284b257272b550c39e6b81b861fa1dbd
dataset/generate_data/processed_1024_front_clean/IMG_4069.png,1024,1024,1148339,b7ce578bd3d0a8c89da1b808acf71372cde1134909676e3d2c23e5f509ed434e
dataset/generate_data/processed_1024_front_clean/IMG_4070.png,1024,1024,1710028,61e3cb6504f1556bbf3144765bb8b7bb3e15eeef2f7c3258895cb8c0209b5dba
dataset/generate_data/processed_1024_front_clean/IMG_4071.png,1024,1024,1152348,dc9218b594e530464ffe80d5eb28bd9b82c81e7ca20253d1df9fad4fba42d52f
dataset/generate_data/processed_1024_front_clean/IMG_4072.png,1024,1024,1721803,549cba7769e5d6ae6e220660b5e91c7c12f8e89c470e8080bb36432b66546ec5
dataset/generate_data/processed_1024_front_clean/IMG_4073.png,1024,1024,1147777,7a1ca73c0aede8e37fb5cc0e0fc856a98eb2a92bae291cb75dc35c042afdc035
dataset/generate_data/processed_1024_front_clean/IMG_4074.png,1024,1024,1695307,30c1666ea1f4ff5604af320ef06edb4da004d9234af829e4ea06145ca8872203
dataset/generate_data/processed_1024_front_clean/IMG_4075.png,1024,1024,1144433,6438a9e546491e440e1c5cefd6745406f30aa80c0c5b04cbbb0fc1193028c3ba
dataset/generate_data/processed_1024_front_clean/IMG_4076.png,1024,1024,1709423,78dfd73791283d4e3158cc21c046c07af348c9fde2ba28050684aa619a14ba4c
dataset/generate_data/processed_1024_front_clean/IMG_4077.png,1024,1024,1159940,dbabc4f2e5834c1b01721d6d86cc146b6d2c6434e2d7e925da6d9a8094fd0a7d
dataset/generate_data/processed_1024_front_clean/IMG_4078.png,1024,1024,1763796,c24c134e39db0910bd4916bb65ba1f62b724dd10aae83589f01a47bf0a4d349e
dataset/generate_data/processed_1024_front_clean/IMG_4080.png,1024,1024,1153297,a31d04b119fe843639f8e860fa623c1069a87c67e9c1acd008737a2c78c80f51
dataset/generate_data/processed_1024_front_clean/IMG_4081.png,1024,1024,1730056,1162c15a580612ef3fda1aa674464827fc779b53f9aece6ca182e4e4f72b6abe
dataset/generate_data/processed_1024_front_clean/IMG_4082.png,1024,1024,1138846,1f35711b4a63125466a12884ac760fa17596b44c64cdcd276d0a2db0f0f77917
dataset/generate_data/processed_1024_front_clean/IMG_4083.png,1024,1024,1692435,1115c05288c4f040fdbad4c872597d7fb0bf2d35e4e0a585ae9031786f7ffeb1
dataset/generate_data/processed_1024_front_clean/IMG_4084.png,1024,1024,1143395,06c5a86e52757462286f5b19b70d72476bd7663e73ea9c51cc7a79b0d408b6da
dataset/generate_data/processed_1024_front_clean/IMG_4085.png,1024,1024,1702519,d969d9a4e460548708562864d601cbca867d86a9d530d3111f3b68d29dbcf356
dataset/generate_data/processed_1024_front_clean/IMG_4086.png,1024,1024,1159136,090daa8a2e2bb79f7e17d04bcba9e19796b1046241666acc4e58f163a08f0da2
dataset/generate_data/processed_1024_front_clean/IMG_4087.png,1024,1024,1711423,610a75eb54f2471ad9f9186d210afc071c004d5b32d98b89c9f869cccf26c13b
dataset/generate_data/processed_1024_front_clean/IMG_4088.png,1024,1024,1166749,38a0cf880b092a187b7084f0e4945182ea5d51a529dcba5c9e203917f3a488fa
dataset/generate_data/processed_1024_front_clean/IMG_4089.png,1024,1024,1646154,20f351a762e1622279b87343be13dd19a5cb943a1c79c0720bb7fe2700533ab6
dataset/generate_data/processed_1024_front_clean/IMG_4091.png,1024,1024,1138031,3caa1b14e097394678b2d8538b2777008e5d35743b0f094be6cff4274b4f2be6
dataset/generate_data/processed_1024_front_clean/IMG_4092.png,1024,1024,1713765,93fbf3ff947b36178df8c9868c1e1e49c446563b5417a54f469d9f64665d090b
dataset/generate_data/processed_1024_front_clean/IMG_4093.png,1024,1024,1174140,28d35796fcf6602d53820036979bdfebf1a1d1c8f984055b397799b1cf3eba20
dataset/generate_data/processed_1024_front_clean/IMG_4094.png,1024,1024,1692793,04b81ed0f9b31b98873f8c7911f2cddf273accb3b3a694d3dc82bf4f3ee56d2d
dataset/generate_data/processed_1024_front_clean/IMG_4095.png,1024,1024,1151692,6f579b8ccf718675400a826d0dfd6b3157f25a45811d0cd671ecdcbc0512bb5c
dataset/generate_data/processed_1024_front_clean/IMG_4096.png,1024,1024,1707646,4a1c0a1ab74c72fe6e140e4e00ebfc262499f1b4c3cc970dd39d9a9de63bfe3b
dataset/generate_data/processed_1024_front_clean/IMG_4097.png,1024,1024,1155597,66bb32266c4826c82ec3b70eb7842138b19abe6b7f08e1970adfdd46003c4d8c
dataset/generate_data/processed_1024_front_clean/IMG_4098.png,1024,1024,1756811,70abff92cf72f2bf7298f4c1b5ac751ca9c8285e43cded89397f9c00e7cf0fcf
dataset/generate_data/processed_1024_front_clean/IMG_4099.png,1024,1024,1136207,141c176335eedbed1e9297017c9d534837b0acd375045bb2fdbb9c4f2e68a2ac
dataset/generate_data/processed_1024_front_clean/IMG_4100.png,1024,1024,1707232,b6f4175f7e10dc21fedc5040dddd484dd126464db6694e5aa0443867ccbcc3c1
dataset/generate_data/processed_1024_front_clean/IMG_4102.png,1024,1024,1186598,d15e5739e82278c1456d0c1af4cb73a05825c38c7501fe7e800065c6df200a92
dataset/generate_data/processed_1024_front_clean/IMG_4103.png,1024,1024,1634660,efb405769a12e1c44920919b78163ea75664fa96484fb1617b47e4fadf9ef8b0
dataset/generate_data/processed_1024_front_clean/IMG_4104.png,1024,1024,1188679,0f030db8c88f12b7116bc5d58e585bfc804bb9bd1460799d5aaef755d13ac53d
dataset/generate_data/processed_1024_front_clean/IMG_4105.png,1024,1024,1740551,2c7fa7afe19226b55bc132c3c7dd7c6fb5d399bf3d9e2a52403dc454f276d22f
dataset/generate_data/processed_1024_front_clean/IMG_4106.png,1024,1024,1208956,726d42a15de78e2fa1602b886a3b646c6cc09ce3f8be78492694ed522af872fd
dataset/generate_data/processed_1024_front_clean/IMG_4107.png,1024,1024,1715585,a8adbe99c3443ff5d12ded36fa5b8bcf3d4523cc9efc6028a830440d86078f88
dataset/generate_data/processed_1024_front_clean/IMG_4108.png,1024,1024,1174826,4286165a1fd94ad25364e8958e7bc782fb5c31eecbb5115749dcb5874d6bb6b1
dataset/generate_data/processed_1024_front_clean/IMG_4109.png,1024,1024,1735716,2fc7c5ce5ca59001390a68f80bc2fce0c1ef90f14657229df4ef2ac171739f45
dataset/generate_data/processed_1024_front_clean/IMG_4110.png,1024,1024,1145118,4e8282bafd1fc36e2156d504ab639f860f939a178d866ba0043d4b35048d93ab
dataset/generate_data/processed_1024_front_clean/IMG_4111.png,1024,1024,1698830,9d879be5339816218a14367326da1aac2e1a82d3f2524a5d67afc136b8fdf1c9
dataset/generate_data/processed_1024_front_clean/IMG_4113.png,1024,1024,1163854,f1df54a55acc5523e12cc67cbcfe0a1e956f30bd4681c55bc6d0ac05af0b795a
dataset/generate_data/processed_1024_front_clean/IMG_4114.png,1024,1024,1673002,d55f66f16e4da11c3048f7f398babd5b934d54cd78fcb27570229e98b003bb15
dataset/generate_data/processed_1024_front_clean/IMG_4115.png,1024,1024,1205585,f1be467d24a27e6a988e8c7af5438e026867eb03f9590f3ff97dffb21e18e1f1
dataset/generate_data/processed_1024_front_clean/IMG_4116.png,1024,1024,1728934,b5c57e59717cf85f5a0a6624f89cd38d0d9aafd8dd657cc6ed10bc9c21da4511
dataset/generate_data/processed_1024_front_clean/IMG_4117.png,1024,1024,1183863,9acf8d54f02ec2e13d10d09219916ae8f190385cb4d0ce051ec929f100e1b896
dataset/generate_data/processed_1024_front_clean/IMG_4118.png,1024,1024,1695351,435ce9758d2b76d4d61e09f12c1fc7ecbbd7750595738fe0b35e671fa82276ff
dataset/generate_data/processed_1024_front_clean/IMG_4119.png,1024,1024,1176842,415a1024c51126a3517d2caf3f1dfd431a264775aceba1bd84cdf52e1559b624
dataset/generate_data/processed_1024_front_clean/IMG_4120.png,1024,1024,1696165,f0fa68bbbb72da077ae80ba1cb81c4d5b653a5c571a197cb871bb7ace0502837
dataset/generate_data/processed_1024_front_clean/IMG_4121.png,1024,1024,1161332,87eb5b1a79994fc0dcbddf1bb8699a709cd6d90609a7b9fbc7026104bbf53ae6
dataset/generate_data/processed_1024_front_clean/IMG_4122.png,1024,1024,1671083,4fa2e38216dc7408521660310881275fb15827a48748471d5e5f7b0a20f3506d
