epoch,loss_d,loss_d_total,loss_d_real,loss_d_fake,loss_g,d_real,d_fake
1,0.6926050068128227,1.3852100136256453,0.6911955039099892,0.6940145138466712,0.6924566962931415,0.5012247698141796,0.5004328512909388
2,0.6918884716411628,1.3837769432823257,0.6652000575962633,0.7185768933579473,0.6726642788046657,0.5179070116269706,0.5125241698604999
3,0.6939222482171389,1.3878444964342778,0.7363099178465287,0.6515345738665892,0.7333225041332812,0.47521857253395683,0.47806028741421086
4,0.6852831338891888,1.3705662677783776,0.6765499799558432,0.6940162878225345,0.688112481985942,0.5114529026616917,0.5000413110350618
5,0.6938043089196233,1.3876086178392466,0.6429211818935847,0.7446874403717494,0.6547827974404439,0.5349401580815268,0.5237186356346206
6,0.6834583370992453,1.3669166741984906,0.6310126949654947,0.7359039818886484,0.667330525889255,0.545828891272592,0.5188060538603527
7,0.6985554205309047,1.3971108410618094,0.6761367887553602,0.7209740458148541,0.6826534123703984,0.5129314658075276,0.5125359305650881
8,0.6894586812151541,1.3789173624303082,0.7231329154260088,0.6557844452338644,0.7295941680964857,0.4822935054797937,0.47981418034817913
9,0.6832420471871253,1.3664840943742507,0.6687367847650358,0.6977473060683449,0.6897603836980196,0.5187524173519399,0.5001429298726638
10,0.6725707685593332,1.3451415371186664,0.7082371549441082,0.636904380404123,0.7614268117611951,0.5007125351688649,0.4665445555554758
11,0.6535532335833748,1.3071064671667496,0.6541245237435445,0.6529819448985675,0.7728708073644355,0.5411850843984302,0.46786179577950204
12,0.6486104703185582,1.2972209406371165,0.6042334062628226,0.6929875320137138,0.7827143288484895,0.6006554353355181,0.4866323375170774
13,0.699942921647931,1.399885843295862,0.6166079424985564,0.7832779046332482,0.8072313270946541,0.5933465600603878,0.49392774671611217
14,0.6214170621173216,1.2428341242346432,0.7669073325572627,0.47592679020201806,0.951406731463895,0.46759259966340394,0.3744955247286523
15,0.5540324864116045,1.108064972823209,0.5590124944649121,0.5490524757026446,0.9311571490056444,0.676477764355074,0.4055930294907919
16,0.5731190552215765,1.146238110443153,0.5207170758507039,0.6255210399037541,0.8666525064128461,0.6738461599049002,0.45028421363913185
17,0.4372844507198523,0.8745689014397046,0.49814770599403,0.37642119751118197,1.1086293718602398,0.7452507256576331,0.30652276850720445
18,0.5169135529806118,1.0338271059612236,0.6154765976537572,0.4183505103729739,1.4243272982611515,0.8093546297364306,0.3064206379366633
19,0.5259293481560037,1.0518586963120073,0.44242575676134316,0.6094329389605192,0.9045838226776312,0.7453089639692023,0.43352213797002737
20,0.5216236613174476,1.0432473226348953,0.6379348721244548,0.40531244992029547,1.4225167204247844,0.647778747845349,0.30405800928936444
